	BALF1	BALF2	BALF16	BALF19	BALF25	BALF28	BALF33	BALF39	BALF42	BALF44	BALF45	BALF54	BALF56	BALF59	BALF60	BALF63	BALF65	BALF67	BALF72	BALF76	BALF77	BALF78	BALF81	BALF85	BALF88	BALF95	BALF96	BALF97	BALF105	BALF106	BALF108	BALF109	BALF112	BALF113	BALF114	BALF115	BALF116	BALF120	BALF121	BALF123	BALF126	BALF127	BALF128	BALF133	BALF136	BALF138	BALF143	BALF148	BALF150	BALF153	BALF155	BALF161	BALF162	BALF163	BALF165	BALF166	BALF169	BALF181	BALF182	BALF194	BALF198	BALF203	BALF204	BALF206	BALF208	BALF214	BALF217	BALF218	BALF221	BALF222	BALF225	BALF228	BALF231	BALF237	BALF238	BALF247	BALF248	BALF253	BALF254	BALF255	BALF256	BALF177	BALF259	BALF263	BALF265	BALF267	BALF270	BALF283
K03439: tRNA_guanine_N7_methyltransferase	0	0	130.066	17.03	1041.99	238.563	371.628	536.086	880.193	672.269	436.475	0	0	0	215.245	599.408	369.189	0	1002.9	0	0	0	49.9389	557.243	0	587.517	690.173	0	605.595	0	0	557.146	0	359.91	337.17	0	646.358	822.08	93.8902	0	723.252	0	707.14	0	0	653.043	0	1195.28	300.857	0	0	0	0	0	0	0	0	1120.04	0	0	692.429	999.762	425.4	1008.19	0	841.903	568.618	0	224.8872	808.537	0	0	523.56	991.663	750.206	1050.5	759.757	744.788	562.976	1097.93	0	356.234	0	0	829.108	795.699	0	583.932
K01126: glycerophosphoryl_diester_phosphodiesterase	1023.89	0	228.521	0	1591.711	153.192	1790.749	597.128	1898.449	1930.517	2257.04	0	0	0	220.257	1349.258	963.454	498.976	1825.364	0	0	0	0	1299.987	151.635	1487.766	1476.402	922.109	1412.917	0	112.53	1745.679	0	543.123	1076.039	326.604	1582.685	613.23	0	0	0	0	780.858	0	202.502	0	0	1795.942	917.564	0	0	0	0	0	0	0	221.413	2279.738	468.46	0	1341.816	2091.98	201.887	1494.483	0	1034.982	0	0	0	716.001	0	0	1267.652	1797.841	1032.022	1628.857	1822.921	1580.516	0	1570.964	231.187	821.746	0	0	1533.086	1660.508	0	1115.996
K00604: methionyl_tRNA_formyltransferase	0	777.539	116.715	73.5176	820.183	219.958	787.224	467.364	810.933	806.061	805.21	117.674	0	56.6405	171.488	692.724	331.557	0	957.646	0	0	0	61.7952	567.225	90.0484	824.201	617.215	0	558.656	0	0	833.104	0	367.66	1244.79	239.454	475.594	582.064	77.4664	0	0	0	604.987	0	0	0	302.793	1006.66	456.6	0	0	0	0	0	0	0	0	545.064	0	0	701.505	914.961	319.756	798.99	0	778.588	313.533	0	132.934	378.853	0	0	736.047	1059.65	443.711	894.09	781.946	790.902	0	975.939	282.425	438.094	0	0	823.814	660.022	0	651.759
K03075: preprotein_translocase_subunit_SecG	0	0	412.604	0	1490.84	351.844	731.171	1332.3	1414.99	1897.92	286.318	0	0	0	182.934	416.282	502.872	0	1561.07	0	0	0	0	1587.95	432.122	1130.97	1313.94	0	893.622	0	258.452	1849.6	455.366	0	989.578	0	763.018	1474.93	0	0	0	0	1633.25	0	199.377	0	325.989	1109.91	199.193	0	588.348	0	0	0	423.06	0	157.857	994.474	1098.79	0	1825.94	1533.91	0	2306.5	0	524.389	0	0	0	681.763	0	0	441.533	1242.3	164.014	771.377	1211.17	1676.75	0	1321.14	271.128	0	0	0	1319.68	939.346	0	510.65
K02114: F_type_H_transporting_ATPase_subunit_epsilon	518.914	0	363.605	15.6455	735.459	570.181	1327.75	621.581	933.053	1057.08	1257.64	0	0	46.1932	206.89	269.843	271.644	204.536	1228.22	0	0	0	134.614	916.616	280.111	581.335	675.801	0	0	0	0	899.957	0	612.021	322.677	0	247.302	1139.31	168.725	0	0	0	411.718	0	0	0	633.94	675.19	451.67	0	0	0	0	0	0	0	302.767	832.797	0	0	1466.95	1186.27	531.551	560.672	0	509.88	0	0	0	736.555	0	0	1211.89	1051.87	1216.697	994.821	1358.12	595.243	0	1117.0193	0	1022.24	0	0	1050.02	1267.5	0	930.515
K06878: tRNA_binding_protein	0	550.291	78.3727	28.7652	629.411	311.344	1041.15	392.981	836.322	1144.99	464.418	0	0	0	0	644.749	469.621	279.214	966.372	0	0	0	277.801	602.035	127.461	512.546	485.627	0	0	0	0	1178.08	0	174.057	440.357	0	393.86	671.749	0	0	0	0	695.811	0	0	0	288.465	773.988	440.608	0	0	0	0	0	0	0	275.54	1065.39	753.98	0	488.095	929.98146	0	793.725	0	386.69	0	0	94.0816	402.191	0	0	553.447	1094.3	604.642	1258.47	884.93	1137.6	0	783.912	395.975	0	0	438.641	750.638	723.711	0	621.186
K00759: adenine_phosphoribosyltransferase	341	0	88.0307	0	664.832	149.876	986.155	638.466	959.346	695.319	426.874	0	0	77.1226	264.21	1015.54	571.228	0	792.744	262.837	0	0	77.9909	434.783	0	561.736	785.48	0	0	0	110.094	1080.44	969.87	603.018	424.089	0	0	467.647	97.7962	0	0	0	733.778	0	0	0	0	911.359	212.348	0	0	0	520.648	0	0	0	265.281	653.987	233.724	0	656.21	927.594	237.684	368.442	0	446.752	0	0	101.901	387.218	0	0	658.286	832.357	419.56	882.996	1116.66	857.121	261.398	955.389	0	546.928	0	0	843.225	903.155	0	598.049
K04043: molecular_chaperone_DnaK	400.504	298.681	112.236	60.1276	816.118	228.678	646.262	483.238	729.27	655.155	758.61	113.158	0	56.0406	131.625	676.814	301.578	0	800.237	0	0	0	94.347	584.062	0	548.87	684.26	0	0	0	309.941	851.008	0	247.899	547.901	459.916	515.305	472.047	0	143.02	0	0	426.647	0	89.672	0	212.022	904.345	249.137	0	0	0	0	0	0	0	0	767.963	0	0	684.637	832.18647	321.024	662.867	0	491.915	293.926	0	127.657	625.316	0	0	574.344	962.003	500.464	849.019	1062.78	802.446	0	932.775	122.082	420.787	0	0	797.008	847.64	0	497.91
K02340: DNA_polymerase_III_subunit_delta	699.255	325.924	51.5673	50.509	869.854	650.872	1303.9	472.756	889.768	695.782	687.773	0	96.7639	0	274.593	863.605	256.235	206.715	819.074	0	0	0	0	693.523	0	598.143	575.251	0	0	0	0	707.278	0	206.18	380.466	376.399	1041.4	547.528	0	0	0	0	396.29	0	0	360.745	0	862.29	434.988	0	0	0	0	0	122.572	0	0	1050.14	300.015	0	971.558	908.343	395.968	797.444	0	614.419	137.458	0	156.719	397.014	0	0	482.1	962.575	232.808	778.599	918.76	1081.98	226.823	938.724	118.415	0	0	0	761.635	675.01	0	724.727
K00615: transketolase	511.121	408.403	129.101	18.7343	808.56	352.45	944.243	326.52	872.815	495.391	365.591	0	0	0	231.839	806.775	458.678	0	754.757	0	0	0	12.3542	750.07	0	408.99	480.03	0	0	0	0	770.29	0	269.115	862.672	366.825	243.588	477.378	0	0	0	0	405.391	0	0	351.583	222.982	715.024	236.185	0	0	0	0	0	0	0	0	745.664	0	0	697.138	872.516	203.578	245.446	0	496.248	0	0	138.192	383.476	0	0	594.004	1082.89	388.951	846.324	775.425	977.161	170.534	941.443	0	263.708	208.977	0	868.302	877.799	0	785.898
K02108: F_type_H_transporting_ATPase_subunit_a	626.873	0	46.1658	50.5886	1271.48	236.162	327.07	574.712	1018.39	728.377	896.93	0	195.001	0	0	581.108	392.328	315.433	930.235	0	0	0	7.48459	672.251	0	719.969	677.784	0	0	0	318.041	1107.72	0	554.514	835.305	0	426.79	643.161	22.8938	0	0	0	1075.93	0	133.794	184.802	291.745	867.25	289.686	0	0	0	0	0	0	0	0	742.75	0	0	879.522	1003.02	187.261	580.185	0	337.312	0	0	107.045	406.763	0	0	937.892	1007.45	403.658	852.145	908.732	767.021	553.586	779.962	0	411.557	512.578	0	759.234	647.257	0	1071.07
K05896: segregation_and_condensation_protein_A	526.289	713.613	84.6943	0	742.547	209.675	771.635	398.021	912.998	979.105	393.57	0	0	0	0	695.556	370.65	0	743.553	219.696	0	0	0	894.459	0	548.255	802.136	0	0	0	0	857.573	272.157	324.457	773.53	0	523.837	855.032	0	0	0	0	553.137	0	214.49	0	233.8	800.374	440.086	0	0	0	0	0	0	0	0	852.885	0	0	715.461	932.364	399.966	895.501	0	556.235	0	0	211.5357	488.961	0	0	435.419	876.522	460.722	800.589	862.379	658.574	0	793.057	0	534.092	0	0	788.257	657.508	0	495.817
K03550: holliday_junction_DNA_helicase_RuvA	0	232.009	152.849	59.285	771.318	305.627	717.511	752.18	991.924	1049.12	491.973	0	0	27.3105	0	574.604	347.443	0	1044.57	0	0	0	71.7156	748.757	0	641.54	935.6	0	0	0	314.304	946.476	711.657	0	251.307	0	662.791	716.369	130.86	0	0	0	780.77	0	0	371.232	226.535	976.794	553.616	0	0	0	0	0	0	0	0	922.64	0	0	949.883	1116.64	334.386	768.02	0	501.058	0	0	197.3056	750.048	0	0	498.596	1034.55817	854.82	854.002	1181.33	765.521	0	681.601	0	821.712	238.805	0	933.374	801.5945	0	665.359
K02433: aspartyl_tRNA_Asn_glutamyl_tRNA_Gln_amidotransferase_subunit_A	1172.19	475.096	135.266	36.2419	970.773	0	976.962	487.386	804.886	373.144	819.242	0	0	79.484	0	410.788	372.967	0	835.427	0	0	0	0	526.538	0	731.599	368.506	0	455.093	0	0	871.76	0	254.742	285.223	365.333	485.772	497.487	40.4744	0	0	0	427.314	0	152.319	210.341	249.048	861.001	430.653	0	0	0	0	0	0	0	0	760.957	0	0	791.736	918.753	213.14	378.402	0	742.12	0	0	0	549.361	0	0	351.321	919.891	490.347	960.022	706.456	833.545	0	799.674	258.919	267.729	0	0	743.864	754.108	0	446.683
K03624: transcription_elongation_factor_GreA	786.139	0	158.2218	0	1177.39	259.142	1186.77	735.956	644.772	1058.87	702.936	0	0	143.996	0	459.904	411.532	0	817.773	0	139.473	0	127.426	776.735	166.164	725.286	646.727	0	658.177	0	443.788	810.657	0	0	0	564.223	468.319	941.48	217.6482	0	0	0	579.188	0	97.8977	0	320.133	802.892	195.615	0	0	0	0	0	108.332	311.612	0	646.574	0	0	518.665	944.699	205.483	515.007	0	611.526	0	222.723	234.574	502.136	0	482.676	758.803	1142.25	1208.01	898.186	743.347	811.598	0	669.958	110.609	0	0	0	576.309	786.155	0	658.188
K01784: UDP_glucose_4_epimerase	756.164	0	139.089	0	796.906	365.587	874.934	454.17	1057.17	976.468	784.405	0	0	0	186.627	452.251	315.45	119.234	909.767	0	0	0	55.9052	588.732	0	817.026	571.768	1299.71	422.103	0	0	992.765	0	379.05	564.258	271.386	609.933	861.613	30.3767	0	0	0	342.873	0	0	364.139	307.962	943.319	545.693	0	0	0	0	0	0	0	0	791.525	0	0	970.284	934.511	0	798.951	0	481.851	0	0	0	236.156	0	0	709.099	939.395	371.672	969.452	762.585	566.314	0	844.304	0	1092.45	0	0	1032.03	790.147	0	554.773
K00995: CDP_diacylglycerol_glycerol_3_phosphate_3_phosphatidyltransferase	1027.67	958.001	245.207	0	576.643	0	508.433	240.518	859.125	1078.85	551.434	0	0	0	226.618	768.142	268.986	202.535	884.228	0	0	0	0	364.026	0	761.852	612.894	0	860.395	0	0	1058.81	0	416.648	0	460.985	605.582	729.195	0	0	0	0	203.845	0	0	0	470.803	860.3	255.715	0	0	0	0	0	0	216.482	0	1063.34	0	0	366.261	816.571	0	431.811	0	441.78	0	0	230.325	364.674	0	0	955.765	1012.96	868.537	718.925	928.332	1493.12	0	900.515	0	843.529	0	0	847.017	607.337	0	717.008
K03595: GTPase	993.092	0	126.537	20.6126	706.001	0	1072.04	430.986	861.965	817.335	904.244	0	0	44.9068	33.1557	770.621	302.455	284.719	889.994	0	0	0	161.908	613.897	0	535.52	934.493	0	0	0	233.211	845.196	0	186.363	842.277	777.65	387.281	615.442	0	0	0	0	446.304	0	89.9528	496.872	0	977.033	629.088	0	265.353	0	0	0	0	0	0	692.986	309.837	0	707.371	1114.81	377.613	996.514	0	871.908	0	0	71.9524	461.385	0	0	945.024	915.422	665.983	1060.33	989.075	744.628	0	914.065	336.351	0	0	0	754.737	744.442	0	503.957
K01491: methylenetetrahydrofolate_dehydrogenase_NADP_methenyltetrahydrofolate_cyclohydrolase	297.924	462.877	146.474	0	1033.94	218.239	1511.75	351.184	808.272	599.316	532.785	0	0	82.0073	82.7561	820.375	561.079	352.291	938.533	0	0	0	94.3069	478.389	133.736	562.008	636.202	0	0	0	0	1054.17	0	0	736.691	285.099	283.967	823.371	0	126.781	0	0	494.048	0	197.869	409.76	363.964	649.825	366.739	0	0	0	0	0	0	200.776	0	1040.21	0	0	693.686	1128.52	0	405.282	0	633.81	0	0	217.596	479.262	0	0	410.806	1149.01	792.282	884.592	982.535	516.417	463.872	1127.25	0	0	0	0	771.167	864.561	0	459.276
K01887: arginyl_tRNA_synthetase	670.487	584.744	79.1862	0	1018.9	0	1077.6	661.735	974.844	936.288	592.961	0	0	57.6127	0	570.316	384.684	0	896.205	0	0	0	63.0467	710.916	0	843.945	663.373	0	0	0	130.196	1051.15	0	303.87	473.663	289.429	341.665	716.632	69.1449	0	0	0	598.809	0	0	493.016	237.204	806.753	245.294	0	0	0	0	0	0	0	0	971.122	0	0	670.664	976.624	562.167	634.733	0	755.457	164.434	0	0	495.509	0	0	605.488	988.621	376.387	962.999	988.545	904.098	0	813.043	212.461	411.898	205.154	0	764.996	673.503	0	500.193
K03664: SsrA_binding_protein	0	414.863	311.782	96.9452	549.54	195.271	1151.7	828.217	1218.61	1148.86	477.52	87.1909	0	59.5241	137.517	173.568	465.938	175.416	1067.31	0	0	0	161.353	661.989	0	586.452	1348.1	0	993.587	0	358.962	1119.08	0	1030.29	691.841	0	530.233	731.915	95.5581	281.78	0	0	397.655	0	221.68	0	0	1013.12	320.173	69.1456	0	0	0	0	0	0	0	799.744	610.851	0	911.793	1003.38	232.648	1228.65	0	327.965	0	0	88.6599	884.365	0	0	981.851	980.106	364.723	870.37	1120.05	1020.88	0	1262.71	150.729	1022.81	0	143.632	759.856	714.537	0	319.372
K00625: phosphate_acetyltransferase	642.64	1127.53	101.116	15.8191	925.396	0	489.381	570.381	984.561	987.485	576.786	0	0	0	0	941.2	574.081	254.288	884.117	0	0	0	0	570.796	0	552.366	503.588	0	810.188	0	286.393	1074.75	0	261.556	752.247	0	845.506	682.608	0	0	0	0	329.034	0	160.677	0	623.945	928.911	300.967	0	0	0	0	0	112.379	0	0	677	0	0	918.228	950.302	421.568	715.994	0	528.254	0	0	144.59	549.43	0	0	732.289	980.808	627.848	1078.15	635.469	1036	0	977.731	0	529.537	0	0	788.068	699.089	0	501.538
K02109: F_type_H_transporting_ATPase_subunit_b	0	0	61.1582	0	981.819	242.957	1721.62	660.762	1031.57	982.798	542.888	227.454	152.989	0	467.752	610.764	462.995	0	978.731	0	0	0	0	841.932	87.276	834.209	451.039	0	617.07	0	133.851	788.894	0	0	0	595.107	0	509.131	107.492	0	0	0	496.7157	0	240.222	1045.65	329.319	904.128	618.893	0	0	0	0	0	0	186.213	0	869.352	0	0	906.121	1084.65	385.298	626.82	0	520.477	0	226.873	330.375	353.081	170.025	0	647.892	1032.16	679.477	914.158	965.844	993.408	0	949.8985	86.6764	0	0	0	862.457	748.301	0	504.369
K07056: 16S_rRNA_cytidine1402_2_O_methyltransferase	577.501	0	134.865	20.4286	809.184	0	1113.55	500.589	826.219	746.823	550.805	0	106.554	70.1336	214.248	724.635	582.596	0	817.717	0	0	0	0	886.406	0	860.908	1106.69	0	429.777	0	248.599	1417.98	0	822.773	359.108	0	596.317	318.926	0	0	0	0	392.745	0	95.8881	1257.94	195.861	865.408	622.697	0	0	0	0	0	0	194.643	187.25	756.908	0	0	754.635	1029.73	368.985	922.789	0	408.904	0	0	171.29	519.112	0	0	769.77	982.953	294.814	1071.86	885.867	999.697	0	1007.35	0	695.231	0	313.099	884.027	761.076	0	843.068
K07304: peptide_methionine_S_S_oxide_reductase	1211.86	0	0	0	621.8	0	860.907	462.206	1008.72	478.86	784.736	0	0	143.513	0	1260.38	289.274	318.447	1178.71	0	0	0	0	830.012	0	953.577	782.3511	0	901.871	0	391.057	1409.84	0	0	376.787	579.848	385.03	703.779	0	0	0	0	503.654	0	452.739	0	246.749	828.616	502.579	0	0	0	0	0	0	0	0	1110.37	0	0	921.135	974.737	0	872.775	0	853.694	0	0	160.952	344.028	0	0	278.506	1071	703.368	1163.61	1153.23	926.843	1257.93	1047.9301	136.815	795.772	0	0	594.582	930.09	0	1062.94
K03078: 3_dehydro_L_gulonate_6_phosphate_decarboxylase	1292.18	0	132.351	0	855.455	340.762	432.753	188.174	840.819	278.507	231.083	0	0	0	0	469.781	514.145	458.395	757.486	0	0	0	258.726	714.007	0	510.923	573.992	0	432.738	0	0	614.062	0	0	642.813	556.448	491.236	357.118	0	0	0	0	644.439	0	0	0	315.722	784.701	417.991	0	0	0	0	0	0	0	0	831.049	0	0	828.918	888.779	0	589.491	0	740.648	406.421	0	128.714	179.772	346.649	0	748.347	1070.66	529.495	1133.85	935.482	1047.42	0	807.412	218.824	678.808	0	0	1064.06	777.86	0	597.601
K03925: MraZ_protein	1421.86	883.643	52.4371	0	499.639	416.624	216.448	788.798	686.988	817.221	593.308	132.203	0	62.9802	262.744	431.31	463.1283	280.222	797.89	0	0	0	0	537.234	0	1154.65	763.773	0	1058.15	0	0	751.582	0	0	884.157	0	451.75	1258.01	0	0	0	0	322.325	0	0	0	0	1048.14	294.834	0	725.483	0	0	0	0	0	0	1029.76	0	0	602.9	1132.78	330.355	398.297	347.304	776.032	0	0	188.842	269.095	157.23	0	980.3	847.018	1057.64	856.363	702.145	652.666	0	854.6637	0	0	0	0	892.946	706.521	0	566.741
K01876: aspartyl_tRNA_synthetase	645.665	561.556	73.0222	27.7518	1014.4	0	1297.06	536.779	743.046	936.085	661.924	72.0397	0	0	128.795	559.223	414.603	0	924.546	0	0	0	48.9185	615.988	0	793.733	643.671	0	0	0	0	969.39	0	304.598	828.103	803.191	328.223	594.569	56.6248	111.311	0	0	439.102	0	214.118	0	244.667	1056.88	396.289	0	0	0	0	0	0	0	0	714.363	0	0	828.382	994.408	345.031	929.897	0	500.481	586.667	0	290.573	403.23	0	0	664.45	999.316	564.412	1034.23	1047.43	1079.67	0	984.337	189.523	0	0	0	1180.49	806.525	0	473.555
K02838: ribosome_recycling_factor	323.362	0	190.806	15.5695	861.432	426.372	1378.18	336.356	1183.4	487.867	805.609	0	0	114.81	283.204	1135.04	338.551	248.586	1108.46	0	0	0	58.1083	755.981	243.448	1022.85	797.859	0	0	32.5474	0	974.679	0	333.71	921.505	348.123	304.769	506.343	37.5407	0	137.411	0	293.215	0	0	333.645	329.201	854.587	281.618	0	0	0	0	0	0	0	0	1138.87	0	0	1009.64	1123.28	0	1028.392	0	609.12	0	0	0	367.189	0	0	624.127	1114.33	0	1226.45	1161.92	1581.46	0	1016.3	164.28	212.337	0	146.918	704.419	825.7339	0	773.521
K01893: asparaginyl_tRNA_synthetase	1453.45	552.187	39.683	40.9881	770.567	0	719.514	492.155	844.128	764.925	558.543	0	0	0	101.549	880.949	247.902	318.382	822.281	581.055	0	0	45.7913	526.059	0	439.641	611.189	0	0	0	0	537.776	0	254.047	803.565	270.54	512.278	495.636	74.6925	0	0	0	450.441	0	120.706	0	283.85	805.441	508.231	0	0	0	0	0	0	0	0	708.721	0	0	651.758	867.848	206.438	541.789	0	624.126	0	0	194.826	578.664	0	0	608.494	827.217	661.638	709.684	772.995	666.281	0	813.364	0	353.604	0	0	772.44	637.684	0	548.914
K03151: tRNA_uracil_4_sulfurtransferase	581.989	420.341	166.95	0	1002.14	0	905.701	497.446	887.399	654.194	323.835	0	0	0	203.571	470.829	297.715	0	906.885	0	0	0	85.5543	678.11	0	588.132	510.631	0	0	0	0	748.394	0	266.968	721.164	417.747	369.857	571.244	50.0425	0	0	0	469.13	0	193.288	489.302	184.353	908.357	675.866	0	0	0	0	0	0	174.38	0	818.438	574.95	0	801.88	904.494	517.44	635.801	0	349.393	0	0	0	550.784	0	0	659.925	996.915	807.675	980.889	1006.78	830.78	0	796.737	0	422.562	0	0	890.994	709.876	0	639.434
K01151: deoxyribonuclease_IV	737.557	687.554	101.898	0	873.733	0	1206.48	575.343	786.653	592.421	624.976	0	0	0	0	1148.72	386.101	0	793.983	0	0	0	0	587.835	0	568.575	680.847	1218.83	0	0	0	771.626	367.107	244.696	630.544	0	395.44	424.639	0	0	0	0	459.796	0	137.772	0	224.387	886.526	321.171	0	0	0	0	0	0	0	0	830.68	0	0	709.733	776.144	192.784	398.424	0	362.359	579.881	0	202.038	443.607	0	0	432.231	839.676	245.508	843.536	702.617	577.4	0	784.857	187.352	726.478	0	0	845.43	551.298	0	558.682
K02822: ascorbate_PTS_system_EIIB_component	0	1760.93	104.497	0	1440.34	207.562	717.87	375.541	1695.13	1017.12	1013.44	0	0	0	0	245.576	591.914	186.143	790.328	0	0	0	0	267.651	0	497.935	621.603	0	527.173	70.5964	304.936	899.138	0	0	1466.2	0	2250.63	777.251	0	0	0	0	535.276	0	117.618	0	0	783.064	587.547	0	0	0	0	0	0	0	303.008	1059.48	324.103	0	470.784	1034.29	164.583	635.767	0	1701.43	680.114	0	0	268.127	0	0	911.655	1119.91	774.053	1137.24	1488.34	1500.78	980.397	1173.08	159.946	1860.62	0	0	1557.03	822.602	0	602.493
K01892: histidyl_tRNA_synthetase	0	0	136.942	0	857.205	184.268	1094.09	473.276	900.558	929.44	385.589	0	0	0	247.605	685.194	475.841	0	818.566	0	0	0	37.1162	653.24	0	922.86	502.13	0	0	0	0	1045.05	0	247.238	520.317	300.941	371.066	573.242	86.9025	168.354	0	0	583.785	0	0	369.472	0	997.014	252.531	0	0	0	0	0	0	0	0	813.545	410.782	0	580.369	915.217	208.732	417.037	0	500.227	0	0	119.319	510.078	0	0	875.412	1007.09	612.939	912.148	989.034	796.722	155.423	1234.2379	283.992	432.616	274.248	0	782.817	809.52	0	334.299
K02026: multiple_sugar_transport_system_permease_protein	1289.04	0	29.8501	64.0565	1157.2	142.255	783.544	555.631	955.403	941.464	521.056	0	0	0	0	631.327	372.48	350.901	983.011	623.874	0	0	0	550.483	131.075	766.5	825.198	0	0	0	0	1348.1	0	190.926	301.987	232.368	538.097	625.317	0	0	0	0	769.964	0	0	445.477	197.764	1079.4	443.063	0	0	0	0	0	0	0	0	972.326	0	0	980.135	1065.63	338.502	543.219	0	357.433	0	0	52.4492	666.322	0	0	825.493	1047.02	630.17	916.402	887.826	1138.66	504.101	1108.67	0	1116.14	0	0	991.191	698.712	0	761.535
K02440: glycerol_uptake_facilitator_protein	0	284.175	141.775	41.237	996.819	0	618.789	570.765	1007.79	502.153	654.131	0	0	0	71.739	738.86	317.916	0	804.372	0	0	0	14.3111	703.794	0	1043.99	668.752	0	566.984	0	0	1225.22	0	539.308	758.24	875.27	387.414	710.05	246.74	131.297	0	0	644.947	0	278.387	0	0	931.023	606.829	0	0	0	0	0	0	0	0	706.205	0	0	854.675	1063.99	460.32	658.746	0	599.044	0	0	121.461	519.237	0	0	1064.79	1098.38	808.762	1015.86	1268.29	1538.58	421.905	990.447	0	467.075	0	0	933.236	937.96	0	566.246
K02113: F_type_H_transporting_ATPase_subunit_delta	0	764.749	137.5241	49.9842	1020.04	0	1184.83	421.288	895.269	909.905	363.063	332.787	93.6465	106.2053	0	659.603	318.831	0	1096.63	0	0	0	45.8829	767.081	0	713.421	663.584	0	944.291	0	0	1015.44	154.777	398.947	526.285	849.97	725.653	654.434	39.2822	0	180.44	164.69	306.818	0	336.983	0	206.684	981.253	336.78	0	0	0	172.208	0	0	114.932	0	1051.3	0	0	431.816	1191.82	471.692	1056.05	0	470.862	0	284.6572	240.9469	73.1496	86.3225	0	606.539	966.634	693.256	886.081	869.4321	724.188	0	972.8847	0	0	0	0	736.694	960.472	0	889.087
K02768: fructose_PTS_system_EIIA_component	744.903	505.722	122.153	0	1007.15	0	1206.73	472.055	870.036	1037.29	653.862	0	0	0	94.3333	678.001	432.455	0	843.273	0	0	0	0	614.345	0	567.514	523.399	0	0	0	207.161	1134.48	0	319.456	527.143	292.02	258.305	673.64	0	0	0	0	768.485	0	0	256.553	248.526	952.495	362.708	0	0	0	0	0	0	0	0	808.378	0	0	709.684	1000.43	389.95	585.219	0	644.002	177.093	0	162.109	481.267	0	0	607.778	978.385	701.391	851.335	1042.49	1005.54	0	967.644	160.772	690.204	0	0	881.778	803.576	0	459.606
K02769: fructose_PTS_system_EIIB_component	744.903	505.722	122.153	163.301	1007.15	0	1206.73	472.055	870.036	1037.29	653.862	0	0	79.6201	129.083	678.001	432.455	0	843.273	0	0	0	111.903	614.345	0	567.514	523.399	0	0	0	207.161	1134.48	0	319.456	527.143	292.02	258.305	673.64	0	0	0	0	768.485	0	0	256.553	248.526	952.495	362.708	0	0	0	0	0	0	0	0	808.378	0	0	709.684	1000.43	389.95	585.219	0	644.002	177.093	0	162.109	481.267	0	0	607.778	978.385	701.391	851.335	1042.49	1005.54	0	967.644	160.772	690.204	0	0	881.778	803.576	0	459.606
K02770: fructose_PTS_system_EIIBC_or_EIIC_component	744.903	505.722	122.153	0	1007.15	0	1206.73	472.055	870.036	1037.29	653.862	0	0	79.6201	129.083	678.001	432.455	0	843.273	0	0	0	0	614.345	0	567.514	523.399	0	0	0	207.161	1134.48	0	319.456	527.143	292.02	258.305	673.64	0	0	0	0	768.485	0	0	256.553	248.526	952.495	362.708	0	0	0	0	0	0	0	0	808.378	0	0	709.684	1000.43	389.95	585.219	0	644.002	177.093	0	162.109	481.267	0	0	607.778	978.385	701.391	851.335	1042.49	1005.54	0	967.644	160.772	690.204	0	0	881.778	803.576	0	459.606
K00857: thymidine_kinase	784.573	0	56.9009	0	1115.43	0	755.258	544.067	1082.13	958.073	982.057	0	0	11.2196	187.3	305.925	136.85	197.51	920.971	0	0	0	123.802	648.467	0	1032.7	860.585	0	583.881	0	80.8125	931.835	0	0	729.448	563.474	747.818	554.078	127.851	135.582	0	0	444.583	0	195.405	1977.59	212.997	908.907	357.848	0	0	0	266.201	0	0	0	0	1084.84	0	140.602	837.988	1163.22	0	753.457	0	663.843	0	0	0	482.576	0	0	829.414	1136.42	669.726	1267.17	963.708	919.978	0	1138.86	265.727	686.922	0	0	799.692	911.03	0	624.083
K03700: recombination_protein_U	0	0	91.0897	0	1071.25	0	594.159	921.548	636.758	382.382	888.188	0	196.272	0	0	968.575	260.044	279.717	1111.22	0	0	0	285.003	578.162	0	744.262	637.664	0	990.23	0	0	1067.78	202.111	313.868	772.244	254.663	338.202	1196.97	50.9187	132.872	0	0	522.835	0	0	0	0	1063.8	346.828	0	0	0	0	0	0	0	0	1046.12	0	0	909.771	1163.52	0	937.147	0	522.972	186.002	0	0	352.551	178.477	0	733.636	969.831	290.695	937.766	1116.55	1030.89	0	700.865	0	232.996	0	329.574	626.665	638.236	0	679.026
K01624: fructose_bisphosphate_aldolase_class_II	1188.39	937.368	148.353	61.1481	1005.74	160.731	830.351	606.691	953.642	591.148	653.894	0	0	0	199.112	473.988	363.364	0	988.701	0	0	0	157.578	788.689	0	1215.92	436.163	0	714.4	61.2778	0	1027.88	260.028	215.656	0	787.307	389.133	656.616	62.38	81.7534	0	0	704.627	0	0	0	0	880.86	363.985	0	0	0	0	0	0	0	248.54	777.631	0	0	585.796	1215.13	477.933	656.643	0	583.891	239.626	0	182.136	0	0	0	403.407	1179.23	618.137	990.556	1192.54	1033.64	0	954.388	0	0	261.643	0	1399.18	989.823	0	583.153
